%% File generated by CATS v.2.1Tue Jan 22 01:59:54 2013

%% The CATS webpage is http://robotics.stanford.edu/CATS

%% PARAMETER SETTINGS:
% Goods: 20; Bids: 100; Distribution: matching; Runs: 1; Seed: 1358821486
% Matching Distribution Parameters:
% Max airport price       = 5
% Early takeoff deviation = 1
% Late takeoff deviation  = 2
% Early landing deviation = 1
% Late landing deviation  = 2
% Deviation               = 0.500000
% Delay coefficient       = 0.900000
% Amount late coefficient = 0.750000



goods 20
bids 100
dummy 33

0	4.60354	3	5	20	#
1	4.14318	3	9	20	#
2	3.72886	3	13	20	#
3	4.60354	7	9	20	#
4	4.14318	7	13	20	#
5	4.60354	11	13	20	#
6	5.36197	9	15	21	#
7	3.61933	9	19	21	#
8	4.02148	13	19	21	#
9	7.40431	2	5	22	#
10	4.99791	2	9	22	#
11	4.49812	2	13	22	#
12	4.04831	2	17	22	#
13	5.55323	6	9	22	#
14	4.99791	6	13	22	#
15	4.49812	6	17	22	#
16	5.55323	10	13	22	#
17	4.99791	10	17	22	#
18	5.55323	14	17	22	#
19	3.99806	11	13	28	#
20	3.81442	0	13	24	#
21	3.43298	0	17	24	#
22	3.81442	4	17	24	#
23	3.93738	3	16	#
24	10.021	10	13	26	#
25	6.76415	10	17	26	#
26	7.51572	14	17	26	#
27	3.50484	0	18	#
28	3.99806	3	5	28	#
29	3.59825	3	9	28	#
30	3.23843	3	13	28	#
31	3.99806	7	9	28	#
32	3.59825	7	13	28	#
33	3.77998	1	12	29	#
34	2.55149	1	16	29	#
35	2.83499	5	16	29	#
36	7.21188	2	5	30	#
37	6.49069	2	9	30	#
38	5.84162	2	13	30	#
39	7.21188	6	9	30	#
40	6.49069	6	13	30	#
41	7.21188	10	13	30	#
42	3.69391	9	15	31	#
43	2.49339	9	19	31	#
44	2.77044	13	19	31	#
45	5.39473	2	5	32	#
46	3.64144	2	9	32	#
47	3.2773	2	13	32	#
48	2.94957	2	17	32	#
49	4.04605	6	9	32	#
50	3.64144	6	13	32	#
51	3.2773	6	17	32	#
52	4.04605	10	13	32	#
53	3.64144	10	17	32	#
54	4.04605	14	17	32	#
55	5.78328	1	6	33	#
56	5.20496	1	10	33	#
57	4.68446	1	14	33	#
58	5.78328	5	10	33	#
59	5.20496	5	14	33	#
60	5.78328	9	14	33	#
61	4.33629	5	10	34	#
62	2.927	5	14	34	#
63	2.6343	5	18	34	#
64	3.25222	9	14	34	#
65	2.927	9	18	34	#
66	3.25222	13	18	34	#
67	4.41805	9	15	44	#
68	4.72772	0	13	36	#
69	4.25495	0	17	36	#
70	4.72772	4	17	36	#
71	3.98871	0	19	#
72	10.5274	2	5	42	#
73	7.10602	2	9	42	#
74	6.39542	2	13	42	#
75	5.75588	2	17	42	#
76	7.89558	6	9	42	#
77	7.10602	6	13	42	#
78	6.39542	6	17	42	#
79	7.89558	10	13	42	#
80	7.10602	10	17	42	#
81	7.89558	14	17	42	#
82	5.57633	10	13	52	#
83	4.41805	1	7	44	#
84	3.97625	1	11	44	#
85	3.57862	1	15	44	#
86	4.41805	5	11	44	#
87	3.97625	5	15	44	#
88	5.44617	1	12	45	#
89	3.67617	1	16	45	#
90	4.08463	5	16	45	#
91	4.15279	0	13	47	#
92	3.73751	0	17	47	#
93	4.15279	4	17	47	#
94	6.79102	2	16	#
95	5.57633	2	5	52	#
96	5.01869	2	9	52	#
97	4.51682	2	13	52	#
98	5.57633	6	9	52	#
99	5.01869	6	13	52	#
